timestamp,open,high,low,close,volume
1,70000,70100,69900,70050,100
2,70050,70200,70000,70150,120
3,70150,70300,70100,70250,90
4,70250,70400,70200,70300,95
5,70300,70500,70250,70450,110
6,70450,70600,70400,70550,130
7,70550,70700,70500,70650,150
8,70650,70800,70600,70750,140
9,70750,70900,70700,70850,160
10,70850,71000,70800,70950,170
11,70950,71100,70900,71050,180
12,71050,71200,71000,71150,175
13,71150,71300,71100,71000,165
14,71000,71100,70900,70800,160
15,70800,70900,70700,70600,155
16,70600,70700,70500,70400,150
17,70400,70500,70300,70200,145
18,70200,70300,70100,70000,140
19,70000,70100,69900,69800,135
20,69800,69900,69700,69600,130
